vendor_id,vendor_name,category,contact_person,email,phone_number,address,status,bucket,date_added,last_interaction_date,performance_rating
VEN-1051,Digital Reach Marketing,Marketing & Advertising,Sean Velasquez,bbryant@example.com,001-444-555-3938x2524,"97020 Natalie Dam Apt. 077, Markstad, MN 05215",Under Review,Transactional,2023-03-23,2024-12-16,3.1
VEN-1052,GlassWorks Containers,Packaging,Thomas Gamble,xmartinez@example.com,(516)315-1418,"95215 Fox Expressway, South Aaronborough, AZ 46215",Potential,Strategic Partner,2024-03-21,2025-10-10,4.7
VEN-1053,Farm Fresh Organics,Raw Materials,William Moore MD,michaelmorgan@example.org,(572)889-4931x342,"04268 April Lane Suite 620, New Matthew, MS 07886",Under Review,Transactional,2024-06-22,2024-12-08,3.8
VEN-1054,Sugar & Spice Corp,Raw Materials,Jamie Roth,colleenjohnson@example.com,295-425-6057x803,"6516 Smith Locks, South Tonya, ID 33272",Onboarding,Transactional,2023-08-23,2024-02-21,3.2
VEN-1055,Sugar & Spice Corp,Raw Materials,Stephen Johnson,nmiles@example.org,+1-461-240-6980x632,"5324 Marquez Trafficway, New Ginahaven, WV 72812",Inactive,Strategic Partner,2024-12-10,2025-06-19,3.7
VEN-1056,Nationwide Freight,Logistics & Distribution,George Lewis,craig23@example.org,716.409.7603,"8316 Diana Coves, Port Gregoryfort, AZ 28845",Active,Strategic Partner,2025-10-11,2025-10-12,3.0
VEN-1057,Farm Fresh Organics,Raw Materials,Caitlin Johns,jessetaylor@example.net,001-333-832-9001x981,"233 Miller Squares Suite 726, Josephstad, VI 25150",Potential,Niche Supplier,2023-02-02,2023-02-11,2.5
VEN-1058,PackRight Solutions,Packaging,Pamela Higgins,pamelasanchez@example.com,+1-984-925-1970,"55181 Barr Cape, Stacyside, NC 49631",Potential,Strategic Partner,2024-07-30,2025-08-13,3.5
VEN-1059,Swift Haulage,Logistics & Distribution,Kristina Rogers,john75@example.com,6338909230,"817 Humphrey Branch Suite 010, West John, PW 89174",Onboarding,Niche Supplier,2024-06-30,2024-08-09,3.2
VEN-1060,DataFlow Analytics,IT & Software,Jennifer Davis,marco23@example.net,+1-442-630-3058,"01402 Collier Coves, West Andrewtown, ND 47073",Under Review,Key Supplier,2024-02-09,2024-05-05,3.7
VEN-1061,Brand Builders Co.,Marketing & Advertising,Melinda Reeves,sheilahoffman@example.org,+1-899-604-5570,"2009 David Street Apt. 153, Reyesbury, NY 26080",Inactive,Transactional,2022-10-25,2025-04-18,3.4
VEN-1062,Line Automation Systems,Manufacturing Equipment,Alexander Jones,wanda70@example.net,417-205-9685,"USS Duncan, FPO AP 54386",Inactive,Transactional,2023-12-10,2024-12-21,4.7
VEN-1063,Farm Fresh Organics,Raw Materials,Kelsey Williams,walkerkatherine@example.net,(294)288-4182,"663 Taylor Extension, Mayberg, GU 32536",Active,Transactional,2024-01-19,2025-03-15,3.5
VEN-1064,ERP Innovators,IT & Software,Paul Nelson,srivera@example.com,830.329.4675x08328,"744 Tran Plain, Port Nicole, GU 35907",Active,Niche Supplier,2023-10-17,2025-03-27,4.6
VEN-1065,Swift Haulage,Logistics & Distribution,Carla Grant,chaddawson@example.org,794-956-8136x20550,"0301 Harmon Expressway Apt. 492, Rileymouth, TN 32340",Onboarding,Transactional,2024-12-15,2025-09-03,4.9
VEN-1066,SecureNet IT Solutions,IT & Software,Ashley Schmidt,michael62@example.com,754.592.5650,"PSC 4534, Box 1058, APO AE 78420",Potential,Transactional,2024-07-12,2025-03-14,3.9
VEN-1067,ProPack Machinery,Manufacturing Equipment,Drew Mills,vrogers@example.com,+1-966-986-2218x802,"17654 Zachary Pass, Port Victoriastad, SD 32454",Onboarding,Key Supplier,2025-03-09,2025-04-06,2.6
VEN-1068,DataFlow Analytics,IT & Software,Nicole Bruce,jennifer63@example.com,001-507-681-3674x12654,"85361 Wade Light Suite 970, Lake Samuelberg, HI 47515",Active,Strategic Partner,2024-06-01,2024-06-12,3.9
VEN-1069,Industrial Mixers Ltd.,Manufacturing Equipment,Elijah Santos,kellybeltran@example.com,(778)936-4817x3310,"78564 Lee Branch, Ortizport, WV 68699",Potential,Key Supplier,2025-08-14,2025-10-07,3.7
VEN-1070,GlassWorks Containers,Packaging,Shannon Fowler,barnesscott@example.com,(875)548-5880,"925 Rogers Springs, Wallacefurt, MA 48670",Inactive,Niche Supplier,2024-10-11,2024-10-11,4.6
VEN-1071,Swift Haulage,Logistics & Distribution,Theodore Scott,wlawrence@example.net,8132416476,"4907 Bradley Vista, Garciaport, DE 33835",Onboarding,Strategic Partner,2025-03-11,2025-08-19,3.0
VEN-1072,ProPack Machinery,Manufacturing Equipment,Jesse Rivera,bsummers@example.net,414-382-0898,"769 Shea Plain Apt. 959, South Kimberlymouth, WV 77130",Potential,Niche Supplier,2025-04-24,2025-09-28,3.8
VEN-1073,Global Agri-Products,Raw Materials,Marie Smith,thomas90@example.com,+1-660-450-7231x732,"250 Anthony Prairie, Randystad, MT 41077",Inactive,Strategic Partner,2024-03-28,2025-03-14,3.1
VEN-1074,Nationwide Freight,Logistics & Distribution,Chad Valentine,tonygraham@example.net,(500)910-2454x08621,"598 Robin Circles Suite 800, West Brittneytown, MT 83866",Active,Key Supplier,2024-09-13,2025-08-24,3.7
VEN-1075,DataFlow Analytics,IT & Software,Ryan Johnson,ufuentes@example.net,250.942.0416,"4974 Herman Passage Suite 005, New Joseph, SC 52642",Under Review,Key Supplier,2023-10-28,2024-04-15,4.5
VEN-1076,Sugar & Spice Corp,Raw Materials,Robert Torres,victoriastone@example.net,+1-796-641-5234,"149 Collins River, Victoriafort, AL 68796",Under Review,Strategic Partner,2023-05-05,2023-06-23,3.9
VEN-1077,Nationwide Freight,Logistics & Distribution,David Cox,wmontgomery@example.net,+1-827-302-7900x665,"550 Marc Villages, Floydborough, MN 11334",Potential,Niche Supplier,2023-11-27,2025-07-21,4.7
VEN-1078,Swift Haulage,Logistics & Distribution,Ronald Reese,contrerasdavid@example.org,001-203-245-5850x7924,"PSC 9663, Box 5709, APO AA 53415",Inactive,Key Supplier,2024-06-22,2024-10-30,2.9
VEN-1079,ColdChain Logistics,Logistics & Distribution,Peter Taylor,christinabean@example.com,001-724-404-0131x98503,"Unit 6125 Box 8726, DPO AE 23864",Inactive,Niche Supplier,2025-01-31,2025-10-15,4.9
VEN-1080,Line Automation Systems,Manufacturing Equipment,Ashley Hawkins,ubond@example.com,001-453-681-8441x646,"70567 Scott Hollow Suite 561, Shanemouth, IL 83187",Active,Transactional,2025-06-15,2025-07-05,5.0
VEN-1081,Sugar & Spice Corp,Raw Materials,Sara Navarro,katie05@example.net,(726)319-0459x57416,"07587 Garcia Divide Suite 854, Beckyhaven, SC 38886",Onboarding,Key Supplier,2025-06-14,2025-09-02,3.3
VEN-1082,Creative Edge Agency,Marketing & Advertising,Tracy Jones,zacharypitts@example.org,+1-698-460-3798,"70102 Leon Courts, Port Heidi, MO 33407",Under Review,Niche Supplier,2025-03-05,2025-06-01,3.5
VEN-1083,SecureNet IT Solutions,IT & Software,Ashley Hanson,robert70@example.org,270-455-4181,"7586 Barton Ridge Apt. 567, Lake Sarahport, NY 04322",Inactive,Transactional,2023-03-09,2025-01-09,3.2
VEN-1084,Brand Builders Co.,Marketing & Advertising,David Johnson,mary99@example.com,001-526-858-3064x0059,"54170 Fernando Plaza Apt. 184, West Cathy, ID 38373",Onboarding,Niche Supplier,2023-10-07,2023-12-16,3.4
VEN-1085,Sugar & Spice Corp,Raw Materials,Bruce Foley,shaneharrington@example.net,453-855-3670,"65165 Johnson Spurs Apt. 761, Leebury, MA 94456",Active,Transactional,2024-04-04,2024-10-01,2.8
VEN-1086,Farm Fresh Organics,Raw Materials,Brian Whitney,david98@example.com,914.223.8474,"06416 Goodwin Glen Apt. 907, Port Kristinahaven, NC 90406",Inactive,Key Supplier,2025-02-20,2025-03-19,3.2
VEN-1087,Digital Reach Marketing,Marketing & Advertising,Kurt Pierce,michellegarcia@example.net,001-701-486-6003x429,"249 Krause Forest Suite 636, East Adrianland, WA 95839",Active,Transactional,2023-02-24,2024-01-14,3.9
VEN-1088,ProPack Machinery,Manufacturing Equipment,James Franklin,hherrera@example.org,5599566131,"975 Samantha Grove, Lake Charles, RI 48963",Inactive,Key Supplier,2023-09-06,2024-11-22,3.4
VEN-1089,Nationwide Freight,Logistics & Distribution,Megan Anderson,onealtimothy@example.com,985-467-8471x019,"USS French, FPO AP 23489",Active,Niche Supplier,2022-11-24,2024-06-02,4.7
VEN-1090,PackRight Solutions,Packaging,Lori Hobbs,gonzaleznathaniel@example.com,2287940522,"525 Cooke Mission Suite 768, North Zacharymouth, WA 86465",Potential,Niche Supplier,2024-03-06,2025-02-07,4.2
VEN-1091,Brand Builders Co.,Marketing & Advertising,William Campos,nyoung@example.org,829.878.3269x75164,"419 Sara Crossing, West Christopherchester, WV 56557",Onboarding,Key Supplier,2022-12-18,2024-07-10,3.1
VEN-1092,PackRight Solutions,Packaging,Joshua Edwards,thomasdominguez@example.com,001-361-226-0368x70131,"397 Andrew Meadows Apt. 419, Knightstad, MO 09064",Onboarding,Key Supplier,2025-07-31,2025-08-27,4.0
VEN-1093,SecureNet IT Solutions,IT & Software,Larry Mejia,jacksonjohn@example.com,402.336.9686x12641,"21245 Contreras Parkway, West Calvin, CT 53569",Active,Niche Supplier,2025-07-12,2025-08-28,4.4
VEN-1094,Farm Fresh Organics,Raw Materials,Tammy Martinez,jedwards@example.net,958.246.1110x25031,"01888 Edward Valley Suite 588, Sheilaton, AK 81904",Under Review,Strategic Partner,2023-01-07,2025-02-24,3.5
VEN-1095,Nationwide Freight,Logistics & Distribution,Brian Phillips,cobbbrittany@example.net,+1-637-624-1694x51778,"5491 Peterson Rapids Suite 995, Williamhaven, OK 37704",Active,Key Supplier,2023-11-25,2025-04-16,3.2
VEN-1096,SecureNet IT Solutions,IT & Software,Miss Chelsea Anderson,timothycrawford@example.org,893.787.9741x03312,"1591 Christina Fork, West Cherylmouth, MI 20560",Onboarding,Transactional,2023-11-02,2025-02-28,3.3
VEN-1097,ERP Innovators,IT & Software,Tammy Curry,joseph59@example.com,001-746-924-4769x1522,"13503 Schmidt Park, Port Laurie, TN 46277",Active,Key Supplier,2025-06-10,2025-09-03,3.2
VEN-1098,SecureNet IT Solutions,IT & Software,Teresa Peters,jamesbean@example.net,+1-755-271-0019,"277 Alyssa Drives, Hillfort, FL 77462",Onboarding,Key Supplier,2023-01-12,2024-02-08,4.3
VEN-1099,ProPack Machinery,Manufacturing Equipment,Michael Shaw,zsmith@example.com,(417)867-8724x176,"893 Ruben Fall, East Nathan, OK 72490",Onboarding,Key Supplier,2023-08-04,2025-07-18,4.6
VEN-1100,Swift Haulage,Logistics & Distribution,Brian Ball,zachary88@example.com,001-412-681-5087x3897,"89004 Johnson Radial Apt. 615, Garciaport, UT 63431",Onboarding,Transactional,2025-05-01,2025-09-14,4.8
VEN-1101,Swift Haulage,Logistics & Distribution,Jennifer Macias,wardtaylor@example.org,(625)834-0579,"2742 Paul Fork, Patriciaview, MO 95329",Under Review,Niche Supplier,2025-05-21,2025-07-20,2.6
VEN-1102,GlassWorks Containers,Packaging,Troy Bell,williamkirk@example.net,982.599.4125x910,"1807 Gabriel Lane Apt. 317, Ryanberg, NE 91052",Active,Key Supplier,2023-03-03,2023-11-13,3.3
VEN-1103,DataFlow Analytics,IT & Software,Ryan Klein DDS,anthony11@example.net,+1-435-233-3109,"9342 Amy Parkway, Jacksontown, WY 72462",Onboarding,Key Supplier,2025-06-03,2025-07-29,3.5
VEN-1104,GlassWorks Containers,Packaging,Gabriela Young,keith82@example.org,(609)431-1351x7402,"37380 Angela Prairie, Kentfurt, WV 03211",Potential,Niche Supplier,2025-06-06,2025-09-18,3.4
VEN-1105,Line Automation Systems,Manufacturing Equipment,Kaylee Flowers,audreywilson@example.org,332.752.5481x668,"475 Ramirez Lights Suite 729, Karenville, ME 61985",Onboarding,Transactional,2025-09-19,2025-09-24,3.6
VEN-1106,ProPack Machinery,Manufacturing Equipment,Perry Bishop,gina61@example.com,704-762-8629,"Unit 8647 Box 3286, DPO AA 67263",Under Review,Key Supplier,2024-08-17,2025-03-07,3.0
VEN-1107,ColdChain Logistics,Logistics & Distribution,Gerald Lee,alyssa03@example.org,(627)539-6541x95799,"23820 Welch Glen Suite 717, Port Michelle, VT 58412",Potential,Key Supplier,2025-06-09,2025-09-18,4.9
VEN-1108,DataFlow Analytics,IT & Software,Adrian Hunter,garciamelissa@example.net,+1-420-765-4393x956,"1526 Jodi Crest Apt. 257, Jessicabury, KY 56695",Onboarding,Strategic Partner,2024-01-30,2024-03-09,3.9
VEN-1109,ProPack Machinery,Manufacturing Equipment,Christine Davis,tedwards@example.net,001-486-675-4882x08202,"734 Gentry Curve Suite 457, South Alexandrastad, GU 94537",Under Review,Transactional,2023-02-09,2023-07-06,3.1
VEN-1110,Digital Reach Marketing,Marketing & Advertising,Jesse Ferrell,ryanrichmond@example.net,8506009311,"USNV Taylor, FPO AA 23958",Active,Strategic Partner,2023-07-06,2025-07-21,4.3
VEN-1111,Swift Haulage,Logistics & Distribution,Rebecca Parsons,katherineramirez@example.net,416.217.8280x33012,"367 Heather Garden Apt. 881, Hernandezfort, AK 95766",Inactive,Transactional,2024-11-05,2025-02-08,4.5
VEN-1112,Line Automation Systems,Manufacturing Equipment,Dr. Tracy Stevenson PhD,nolanroberta@example.net,929.666.2830x321,"Unit 6781 Box 7550, DPO AP 09473",Onboarding,Transactional,2023-01-14,2025-02-05,3.8
VEN-1113,Eco Plastics Inc.,Packaging,Katherine Scott,trevor21@example.com,919-588-9003x33037,"29436 Karen Meadows Apt. 758, Mikestad, VT 32682",Onboarding,Niche Supplier,2025-05-13,2025-07-02,4.0
VEN-1114,Industrial Mixers Ltd.,Manufacturing Equipment,Casey Clark,woodsallen@example.org,(866)306-9280,"Unit 7420 Box 7554, DPO AE 23785",Potential,Key Supplier,2024-09-08,2025-03-19,2.6
VEN-1115,Swift Haulage,Logistics & Distribution,Emily Taylor,jose37@example.com,758-811-0370,"6526 Megan Key Suite 225, East Becky, WY 30024",Active,Key Supplier,2025-07-12,2025-10-12,3.9
VEN-1116,DataFlow Analytics,IT & Software,Stacey Melton,andersonbrittany@example.net,644-466-3625,"39842 Tammy Lane, New Kimberlyhaven, ND 11515",Onboarding,Transactional,2024-02-26,2024-06-02,4.7
VEN-1117,Line Automation Systems,Manufacturing Equipment,Andrew Gaines,darrylweaver@example.org,514-640-9330,"9694 Fuller Circle Suite 219, Reillymouth, MP 99501",Active,Strategic Partner,2025-05-11,2025-09-23,4.9
VEN-1118,Digital Reach Marketing,Marketing & Advertising,Tiffany Spencer,kristinamoreno@example.net,7796020035,"05695 Brandon Shoal Apt. 485, Port Melissachester, RI 40955",Inactive,Strategic Partner,2025-07-26,2025-08-08,4.9
VEN-1119,Swift Haulage,Logistics & Distribution,Connor Wilson,cpruitt@example.org,001-351-365-9954x936,"7113 Shaw Passage, East Craig, ME 99176",Under Review,Strategic Partner,2022-10-24,2023-04-24,2.9
VEN-1120,Digital Reach Marketing,Marketing & Advertising,Christine Fletcher,thomascurtis@example.com,(696)875-6906,"04625 Dickerson Center, Brandihaven, FM 51724",Potential,Transactional,2023-10-31,2024-07-20,4.8
VEN-1121,GlassWorks Containers,Packaging,Diane Stanley,fvalencia@example.net,2682293191,"772 Ann Meadow, Pottshaven, TX 73130",Inactive,Transactional,2024-06-16,2025-09-15,4.5
VEN-1122,ColdChain Logistics,Logistics & Distribution,Ann Jones,peterthornton@example.org,(472)508-0065x25808,"1874 Bridget Square, Rodrigueztown, IN 65011",Potential,Niche Supplier,2023-01-31,2024-01-30,3.2
VEN-1123,SecureNet IT Solutions,IT & Software,Zachary Mcneil,jeanne55@example.org,7138084569,"34858 Kevin Stream, Robertsstad, UT 27405",Onboarding,Niche Supplier,2025-07-18,2025-09-03,4.7
VEN-1124,ProPack Machinery,Manufacturing Equipment,Elizabeth Bullock,sedwards@example.net,639.803.3535x839,"28229 Heather Shore, Maryshire, WA 47023",Active,Key Supplier,2022-12-06,2023-03-29,2.8
VEN-1125,Industrial Mixers Ltd.,Manufacturing Equipment,Benjamin Proctor,vhardy@example.com,(215)745-7632x955,"28932 Palmer Meadow, Meganton, GA 81960",Active,Transactional,2025-06-08,2025-06-13,4.5
VEN-1126,ERP Innovators,IT & Software,Veronica Ford,kevinchristensen@example.org,(359)249-0940x092,"685 Bauer Oval, Penafort, IL 92860",Active,Strategic Partner,2023-01-09,2024-11-10,4.7
VEN-1127,ERP Innovators,IT & Software,John Edwards,spetersen@example.net,(724)377-6894x0829,"596 Rodney Island, Robertshire, AZ 52778",Potential,Niche Supplier,2022-12-06,2024-05-11,2.8
